place,aruco_type,id,size_mm,x,y,z
floor,DICT_5X5_50,0,190,0,3.664,0
floor,DICT_5X5_50,1,190,0,0,0
floor,DICT_5X5_50,2,190,8.122,0,0
floor,DICT_5X5_50,3,190,8.122,3.664,0
floor,DICT_5X5_50,4,190,0,1.832,0
floor,DICT_5X5_50,5,190,4.061,0,0
floor,DICT_5X5_50,6,190,8.122,1.832,0
floor,DICT_5X5_50,7,190,4.061,3.664,0
floor,DICT_5X5_50,8,190,0,0.916,0
floor,DICT_5X5_50,9,190,3.04575,0,0
floor,DICT_5X5_50,10,190,7.10675,0,0
floor,DICT_5X5_50,11,190,8.122,2.748,0
floor,DICT_5X5_50,12,190,5.07625,3.664,0
floor,DICT_5X5_50,13,190,1.015,3.664,0
floor,DICT_5X5_50,14,190,0,2.748,0
floor,DICT_5X5_50,15,190,1.015,0,0
floor,DICT_5X5_50,16,190,5.07625,0,0
floor,DICT_5X5_50,17,190,8.122,0.916,0
floor,DICT_5X5_50,18,190,7.10675,3.664,0
floor,DICT_5X5_50,19,190,3.04575,3.664,0
floor,DICT_5X5_50,20,190,2.035,3.664,0
floor,DICT_5X5_50,21,190,2.035,0,0
floor,DICT_5X5_50,22,190,6.0915,0,0
floor,DICT_5X5_50,23,190,6.0915,3.664,0
floor,DICT_5X5_50,24,190,3.04575,3.664,0
floor,DICT_5X5_50,25,190,2.035,3.664,0
floor,DICT_5X5_50,26,190,2.035,0,0
floor,DICT_5X5_50,27,190,6.0915,0,0
floor,DICT_5X5_50,28,190,6.0915,3.664,0
oarbot_blue,DICT_4X4_50,2,360,-0.228,-0.03,0.845
oarbot_silver,DICT_4X4_50,1,360,-0.233,0,0.855